"Name","Time (ms)","Avg. Time (ms)","Own Time (ms)","Invocation Count","Level"
"<All threads>","83423","","","", "1"
"java.lang.Thread.run()","80476","20119","479","4", "2"
"au.edu.jcu.v4l4j.PushSource.run()","79996","79996","0","1", "3"
"au.edu.jcu.v4l4j.AbstractGrabber.getNextVideoFrame()","43485","15","22","2818", "4"
"uk.ac.ed.inf.sdp2012.group7.vision.VisionFeed$1.nextFrame(VideoFrame)","36763","13","0","2817", "4"
"java.lang.Thread.interrupted()","3","0","3","2818", "4"
"uk.ac.ed.inf.sdp2012.group7.MainRunner.main(String[])","2604","2604","0","1", "2"
"uk.ac.ed.inf.sdp2012.group7.vision.Vision.<init>()","2506","2506","0","1", "3"
"java.lang.ClassLoader.loadClass(String)","63","2","63","31", "3"
"org.apache.log4j.Logger.getLogger(String)","34","0","34","58", "3"
"java.awt.EventDispatchThread.run()","255","85","255","3", "2"
"uk.ac.ed.inf.sdp2012.group7.strategy.Strategy$1.run()","33","33","0","1", "2"
"java.lang.ClassLoader.loadClass(String)","24","3","24","7", "2"
"java.lang.ref.Reference$ReferenceHandler.run()","22","22","22","1", "2"
"java.lang.UNIXProcess$1$1.run()","2","1","2","2", "2"
"java.lang.ref.Finalizer$FinalizerThread.run()","2","2","2","1", "2"
